uid,date_account_created,date_first_booking,gender,age,signup_method,language,first_device_type,first_browser,country_destination
106,2010-02-13,2010-03-22,FEMALE,69,basic,en,"Mac Desktop",Firefox,US
107,2010-02-14,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
108,2010-02-15,2010-02-15,FEMALE,30,basic,en,"Windows Desktop",Chrome,FR
109,2010-02-15,NULL,FEMALE,42,facebook,en,"Windows Desktop",IE,NDF
110,2010-02-15,NULL,FEMALE,63,basic,en,iPad,-unknown-,NDF
111,2010-02-15,2010-02-16,-unknown-,NULL,facebook,en,"Windows Desktop",Chrome,CA
112,2010-02-15,2010-12-12,-unknown-,33,basic,en,Other/Unknown,-unknown-,US
113,2010-02-16,2010-02-16,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
114,2010-02-16,2010-02-16,-unknown-,NULL,basic,en,iPad,"Mobile Safari",US
115,2010-02-16,NULL,MALE,44,basic,en,Other/Unknown,-unknown-,NDF
116,2010-02-16,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
117,2010-02-16,NULL,FEMALE,26,basic,en,Other/Unknown,-unknown-,NDF
118,2010-02-16,2010-02-21,FEMALE,29,basic,en,"Mac Desktop",Chrome,FR
119,2010-02-17,2010-02-17,FEMALE,43,basic,en,"Windows Desktop",Chrome,US
120,2010-02-17,NULL,-unknown-,30,basic,en,Other/Unknown,-unknown-,NDF
121,2010-05-30,2010-03-17,FEMALE,NULL,facebook,en,"Mac Desktop",Safari,US
122,2010-02-18,2010-02-18,-unknown-,36,basic,en,"Mac Desktop",Safari,US
123,2010-02-18,NULL,-unknown-,26,basic,en,Other/Unknown,-unknown-,NDF
124,2010-02-19,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
125,2010-02-19,2010-02-21,FEMALE,33,facebook,en,"Windows Desktop",Firefox,US
126,2010-02-19,NULL,FEMALE,42,facebook,en,"Mac Desktop",Chrome,NDF
127,2010-02-19,NULL,-unknown-,NULL,basic,en,"Windows Desktop",Firefox,NDF
128,2010-02-20,NULL,FEMALE,36,facebook,en,iPad,"Mobile Safari",NDF
129,2010-02-20,2010-02-28,MALE,39,basic,en,"Mac Desktop",Chrome,US
130,2010-02-20,2011-02-11,-unknown-,NULL,basic,en,"Windows Desktop",Chrome,other
131,2010-02-21,2010-06-28,-unknown-,47,basic,en,Other/Unknown,-unknown-,US
132,2010-02-21,2010-02-22,FEMALE,52,basic,en,"Mac Desktop",Firefox,IT
133,2010-02-21,NULL,-unknown-,59,basic,en,Other/Unknown,-unknown-,NDF
134,2010-02-22,NULL,-unknown-,53,basic,en,Other/Unknown,-unknown-,NDF
135,2010-02-22,2010-02-22,-unknown-,NULL,basic,en,"Mac Desktop",Firefox,US
136,2010-02-22,2010-03-04,-unknown-,25,basic,en,Other/Unknown,-unknown-,US
137,2010-02-22,NULL,-unknown-,NULL,basic,en,"Windows Desktop",Chrome,NDF
138,2010-02-22,2010-02-23,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
139,2010-02-23,NULL,MALE,55,basic,en,"Android Phone","Chrome Mobile",NDF
140,2010-02-23,NULL,-unknown-,NULL,basic,en,"Windows Desktop",IE,NDF
141,2010-02-23,NULL,-unknown-,NULL,basic,en,"Mac Desktop",Safari,NDF
142,2010-02-23,2010-02-25,MALE,36,facebook,en,"Windows Desktop",Chrome,CA
143,2010-02-24,2010-02-24,-unknown-,NULL,basic,en,"Mac Desktop",Firefox,GB
144,2010-02-24,NULL,-unknown-,35,basic,en,Other/Unknown,-unknown-,NDF
145,2010-02-24,2010-02-25,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
146,2010-02-24,2010-03-08,-unknown-,65,basic,en,Other/Unknown,-unknown-,US
147,2010-02-24,2010-02-24,FEMALE,33,basic,en,"Mac Desktop",Safari,GB
148,2010-02-24,2010-02-24,MALE,38,facebook,en,"Mac Desktop",Safari,US
149,2010-02-24,2010-03-27,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
150,2010-02-24,2010-02-28,-unknown-,41,basic,en,Other/Unknown,-unknown-,FR
151,2010-02-25,NULL,FEMALE,29,basic,en,"Windows Desktop",Chrome,NDF
152,2010-02-25,2010-02-26,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
153,2010-02-25,2010-02-26,-unknown-,32,basic,en,iPhone,"Mobile Safari",US
154,2010-02-25,NULL,-unknown-,NULL,basic,en,"Mac Desktop",Chrome,NDF
155,2010-02-26,2010-02-27,-unknown-,28,basic,en,"Mac Desktop",Chrome,US
156,2010-02-26,2010-03-12,FEMALE,46,basic,en,"Mac Desktop",Firefox,US
157,2010-02-26,NULL,-unknown-,35,basic,en,Other/Unknown,-unknown-,NDF
158,2010-02-27,NULL,FEMALE,35,facebook,en,"Mac Desktop",Firefox,NDF
159,2010-02-27,NULL,-unknown-,34,basic,en,"Mac Desktop",Safari,NDF
160,2010-02-27,2010-02-28,FEMALE,63,facebook,en,"Windows Desktop",Firefox,US
161,2010-02-27,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
162,2010-02-27,2010-03-01,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,FR
163,2010-02-27,2010-03-01,-unknown-,NULL,basic,en,"Windows Desktop",Chrome,US
164,2010-02-28,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
165,2010-02-28,NULL,MALE,58,facebook,en,"Windows Desktop",Firefox,NDF
166,2010-02-28,2010-03-02,-unknown-,57,basic,en,"Mac Desktop",Safari,US
167,2010-02-28,NULL,-unknown-,61,facebook,en,Other/Unknown,-unknown-,NDF
168,2010-02-28,NULL,-unknown-,NULL,basic,en,iPhone,-unknown-,NDF
169,2010-02-28,NULL,FEMALE,NULL,basic,en,"Mac Desktop",Safari,NDF
170,2010-02-28,NULL,-unknown-,NULL,facebook,en,Other/Unknown,-unknown-,NDF
171,2010-03-01,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
172,2010-03-01,2010-03-03,FEMALE,35,basic,en,"Mac Desktop",Chrome,US
173,2010-03-01,2010-03-02,-unknown-,NULL,basic,en,"Mac Desktop",Safari,US
174,2010-03-01,2010-03-03,MALE,31,facebook,en,Other/Unknown,-unknown-,IT
175,2010-03-01,NULL,-unknown-,36,basic,en,"Windows Desktop",Firefox,NDF
176,2010-03-02,2010-03-02,-unknown-,NULL,basic,en,"Mac Desktop",Safari,US
177,2010-03-02,NULL,-unknown-,NULL,basic,en,iPad,"Mobile Safari",NDF
178,2010-03-02,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
179,2010-03-02,2010-03-05,-unknown-,18,basic,en,iPad,"Mobile Safari",US
180,2010-03-03,2010-03-03,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
181,2010-03-03,NULL,-unknown-,NULL,basic,en,iPad,"Mobile Safari",NDF
182,2010-03-03,2010-03-03,MALE,35,basic,en,"Mac Desktop",Chrome,US
183,2010-03-03,2010-03-06,MALE,36,basic,en,"Windows Desktop",Chrome,US
184,2010-03-04,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
185,2010-03-04,2010-03-05,FEMALE,37,basic,en,"Mac Desktop",Safari,US
186,2010-03-05,NULL,MALE,35,basic,en,"Mac Desktop",Safari,NDF
187,2010-03-05,NULL,-unknown-,NULL,basic,en,iPad,"Mobile Safari",NDF
188,2010-03-05,2010-03-08,-unknown-,42,basic,en,"Windows Desktop",Chrome,US
189,2010-03-05,2010-04-18,-unknown-,NULL,basic,en,"Mac Desktop",Firefox,ES
190,2010-03-06,2010-03-15,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
191,2010-03-06,NULL,FEMALE,33,basic,en,"Mac Desktop",Chrome,NDF
192,2010-03-06,2010-03-07,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
193,2010-03-06,2010-03-10,-unknown-,NULL,basic,fr,"Mac Desktop",Safari,US
194,2010-03-06,2010-03-08,FEMALE,5,basic,en,Other/Unknown,-unknown-,FR
195,2010-03-07,2010-03-08,-unknown-,NULL,basic,en,iPad,"Mobile Safari",other
196,2010-03-07,2010-03-12,-unknown-,18,basic,en,"Windows Desktop",Chrome,US
197,2010-03-07,2010-03-07,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
198,2010-03-08,2010-03-22,-unknown-,33,basic,en,"Mac Desktop",Safari,FR
199,2010-03-08,NULL,FEMALE,NULL,basic,en,iPad,"Mobile Safari",NDF
200,2010-03-08,2010-04-15,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
201,2010-03-08,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
202,2010-03-08,2010-03-08,MALE,33,basic,en,"Mac Desktop",Safari,US
203,2010-03-08,NULL,-unknown-,27,basic,en,Other/Unknown,-unknown-,NDF
204,2010-03-16,2010-04-06,FEMALE,44,basic,en,"Mac Desktop",Safari,US
205,2010-03-09,NULL,FEMALE,44,facebook,en,"Desktop (Other)",Firefox,NDF
206,2010-03-10,NULL,-unknown-,53,basic,en,"Windows Desktop",Firefox,NDF
207,2010-03-10,2010-03-10,FEMALE,35,basic,en,"Mac Desktop",Chrome,US
208,2010-03-10,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
209,2010-03-10,2010-03-22,-unknown-,47,basic,en,Other/Unknown,-unknown-,US
210,2010-03-10,2010-03-10,-unknown-,40,basic,en,"Mac Desktop",Safari,US
211,2010-03-10,2010-03-12,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,other
212,2010-03-10,NULL,FEMALE,30,basic,en,"Mac Desktop",Firefox,NDF
213,2010-03-11,2010-03-14,FEMALE,39,basic,en,"Mac Desktop",Firefox,US
214,2010-03-11,2010-03-11,FEMALE,45,basic,en,"Mac Desktop",Safari,US
215,2010-03-11,NULL,-unknown-,54,basic,en,Other/Unknown,-unknown-,NDF
216,2010-03-11,2010-03-13,MALE,25,basic,en,"Mac Desktop",Chrome,FR
217,2010-03-11,NULL,FEMALE,38,facebook,en,"Windows Desktop",Chrome,NDF
218,2010-03-11,NULL,FEMALE,47,facebook,en,"Windows Desktop",IE,NDF
219,2010-03-12,2010-03-12,FEMALE,57,basic,en,"Mac Desktop",Chrome,US
220,2010-03-12,NULL,MALE,32,facebook,en,"Mac Desktop",Chrome,NDF
221,2010-03-12,2010-03-19,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
222,2010-03-13,NULL,-unknown-,NULL,basic,en,"Windows Desktop",Chrome,NDF
223,2010-03-13,2010-03-19,-unknown-,43,basic,en,iPad,"Mobile Safari",US
224,2010-03-13,NULL,-unknown-,33,basic,en,Other/Unknown,-unknown-,NDF
225,2010-03-13,2010-03-14,MALE,60,facebook,en,"Mac Desktop",RockMelt,US
226,2010-03-13,2010-03-15,FEMALE,29,basic,en,"Mac Desktop",Chrome,US
227,2010-03-14,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
228,2010-03-14,2010-03-14,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
229,2010-03-14,2010-03-15,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
230,2010-03-14,2010-03-15,-unknown-,NULL,basic,en,"Mac Desktop",Firefox,US
231,2010-03-14,2010-03-15,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
232,2010-03-14,2010-03-29,FEMALE,32,basic,en,"Windows Desktop",Chrome,US
233,2010-03-14,2010-03-17,-unknown-,NULL,basic,en,"Mac Desktop",Chrome,FR
234,2010-03-14,2010-03-15,MALE,43,facebook,en,"Desktop (Other)",Chromium,US
235,2010-03-15,2010-03-16,FEMALE,30,basic,en,"Mac Desktop",Chrome,US
236,2010-03-15,2010-03-15,FEMALE,29,basic,en,"Mac Desktop",Safari,US
237,2010-03-15,NULL,-unknown-,NULL,basic,en,iPad,"Mobile Safari",NDF
238,2010-03-15,2010-04-20,FEMALE,42,basic,en,"Mac Desktop",Firefox,US
239,2010-03-15,2010-03-16,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
240,2010-03-15,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
241,2010-03-15,2010-04-12,-unknown-,34,basic,en,"Mac Desktop",Chrome,US
242,2010-03-15,2010-03-16,-unknown-,19,basic,en,"Mac Desktop",Firefox,US
243,2010-03-15,2010-03-15,-unknown-,NULL,basic,en,"Mac Desktop",Safari,US
244,2010-03-16,2010-03-19,-unknown-,32,basic,en,Other/Unknown,-unknown-,US
245,2010-03-16,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
246,2010-03-16,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
247,2010-03-16,2010-03-16,-unknown-,32,basic,en,"Mac Desktop",Chrome,US
248,2010-03-16,2010-03-17,FEMALE,30,facebook,en,Other/Unknown,-unknown-,US
249,2010-03-16,2010-03-29,MALE,44,basic,en,"Mac Desktop",Chrome,US
250,2010-03-16,NULL,-unknown-,NULL,basic,en,"Mac Desktop",Chrome,NDF
251,2010-03-16,NULL,-unknown-,47,basic,en,Other/Unknown,-unknown-,NDF
252,2010-03-18,2010-03-19,-unknown-,NULL,basic,en,"Windows Desktop",IE,FR
253,2010-03-18,2010-05-21,-unknown-,NULL,basic,en,"Windows Desktop",Chrome,US
254,2010-03-18,2010-03-18,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
255,2010-03-18,NULL,-unknown-,NULL,facebook,en,Other/Unknown,-unknown-,NDF
256,2010-03-18,2010-03-19,MALE,48,basic,en,"Windows Desktop",Chrome,US
257,2010-03-18,NULL,FEMALE,42,facebook,en,"Mac Desktop",Safari,NDF
258,2010-03-18,NULL,FEMALE,59,facebook,en,"Windows Desktop",IE,NDF
259,2010-03-18,NULL,-unknown-,NULL,basic,en,"Mac Desktop",Firefox,NDF
260,2010-03-18,2010-03-20,MALE,32,facebook,en,"Mac Desktop",Chrome,US
261,2010-03-18,NULL,FEMALE,32,basic,en,"Mac Desktop",Firefox,NDF
262,2010-03-19,2010-03-26,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
263,2010-03-19,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
264,2010-03-19,2010-03-19,MALE,51,basic,en,"Windows Desktop",Firefox,US
265,2010-03-19,2010-03-25,MALE,45,basic,en,"Mac Desktop",Chrome,US
266,2010-03-19,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
267,2010-03-19,2010-03-28,-unknown-,NULL,basic,en,"Mac Desktop",Firefox,US
268,2010-03-19,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
269,2010-03-19,2010-03-21,-unknown-,52,basic,en,iPad,"Mobile Safari",US
270,2010-03-19,2010-03-19,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
271,2010-03-19,2010-04-10,-unknown-,47,basic,en,"Windows Desktop",IE,US
272,2010-03-19,2010-03-25,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
273,2010-03-20,2010-03-20,-unknown-,NULL,basic,en,"Windows Desktop",Chrome,US
274,2010-03-20,2010-03-23,-unknown-,38,basic,en,"Mac Desktop",Safari,FR
275,2010-03-20,NULL,-unknown-,NULL,basic,en,"Mac Desktop",Safari,NDF
276,2010-03-20,2011-03-06,MALE,36,basic,en,"Mac Desktop",Chrome,US
277,2010-03-20,NULL,FEMALE,46,basic,en,"Mac Desktop",Safari,NDF
278,2010-03-20,2010-03-21,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,CA
279,2010-03-20,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
280,2010-03-20,NULL,MALE,51,basic,en,"Windows Desktop",IE,NDF
281,2010-03-21,2010-03-21,-unknown-,NULL,basic,en,"Windows Desktop",Firefox,US
282,2010-03-21,NULL,MALE,31,basic,de,iPhone,-unknown-,NDF
283,2010-03-22,NULL,-unknown-,NULL,basic,en,iPad,-unknown-,NDF
284,2010-03-22,2010-03-22,-unknown-,NULL,basic,en,iPad,"Mobile Safari",US
285,2010-03-22,2010-03-22,FEMALE,57,basic,en,"Mac Desktop",Firefox,US
286,2010-03-22,NULL,-unknown-,NULL,basic,en,iPad,"Mobile Safari",NDF
287,2010-03-22,2010-03-22,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
288,2010-03-23,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
289,2010-03-23,2010-12-11,FEMALE,NULL,basic,en,"Windows Desktop",Chrome,PT
290,2010-03-23,2010-04-09,FEMALE,31,basic,en,"Mac Desktop",Chrome,other
291,2010-03-23,2010-03-24,MALE,39,basic,en,Other/Unknown,-unknown-,US
292,2010-03-23,2010-03-25,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
293,2010-03-23,2010-03-24,FEMALE,61,facebook,en,"Mac Desktop",Safari,US
294,2010-03-24,2010-04-02,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
295,2010-03-24,2010-03-25,MALE,64,basic,en,"Windows Desktop",IE,US
296,2010-03-24,2010-03-24,MALE,35,facebook,en,"Mac Desktop",Chrome,US
297,2010-03-25,2010-03-26,-unknown-,NULL,basic,en,"Mac Desktop",Chrome,US
298,2010-03-25,2010-03-25,-unknown-,NULL,basic,en,"Windows Desktop",IE,US
299,2010-03-25,2010-03-26,-unknown-,39,basic,en,"Mac Desktop",Safari,US
300,2010-03-25,2010-03-25,-unknown-,NULL,facebook,en,Other/Unknown,-unknown-,US
301,2010-03-25,NULL,-unknown-,72,basic,en,Other/Unknown,-unknown-,NDF
302,2010-03-25,2010-04-17,MALE,70,facebook,en,"Mac Desktop",Chrome,US
303,2010-03-25,2010-03-26,-unknown-,NULL,basic,en,iPhone,-unknown-,US
304,2010-03-25,2010-04-12,-unknown-,NULL,basic,en,"Mac Desktop",Safari,US
305,2010-03-25,NULL,FEMALE,45,basic,en,"Mac Desktop",Safari,NDF
306,2010-03-26,2010-03-26,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
307,2010-03-26,NULL,-unknown-,42,basic,en,"Mac Desktop",Safari,NDF
308,2010-03-26,2010-07-24,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
309,2010-03-26,2010-03-31,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,FR
